"ID","From","Genero","age","playBefore","Session","Trial","Stimulus_Number","CrucesColisiones","x_Cursor","y_Cursor","x_start_green","y_start_green","x_start_red","y_start_red","vel_x_green","vel_y_green","vel_x_red","vel_y_red","x_Collision","y_Collision","x_Desap","y_Desap","x_desap_green","y_desap_green","x_desap_red","y_desap_red","Timeout","Score","Cumulative_Score","Error","Distancia","r","Tiempo_respuesta","stimulus","Distancia_signo","Dist_Collision_DissapRed","dd","Distancia.t","Error.t","cut","Inside","distance"
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,0,"17","Cruce",-0.932382692852179,-0.777460128512655,0.606062394834691,-1.31256190969276,1.12619216438797,1.32419198830523,-5.75354092479734,3.98707497128938,-4.90848790962757,-4.99066593162075,-0.626839231907595,-0.458188701559318,NA,NA,-0.972051024436951,-0.218964263796806,-0.220135822892189,-0.0446762517094612,0,10.4460025599302,0,0.00613434415021086,0.441917470343518,0.441874892267779,1468,"017",0.441917470343518,0.580000180246164,1.02189422831843,-0.151533378927941,-1.93716704325727,"[0.4,0.8)",0,0.4
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,1,"29","Cruce",0.985096908702478,1.09081689483361,2.21548214412264,-1.91465941613975,-2.06862152415598,-0.252939467260889,-4.13970218407654,5.64472017261724,6.19990721347299,3.24979238480331,0.14563105208437,0.907700670168864,NA,NA,1.08002102375031,-0.36639392375946,-0.368075370788574,0.638432383537292,0,8.43733180002585,0,0.22754237594112,0.859205724005051,0.828528178949947,1391,"029",0.859205724005051,0.579999740591682,1.42678903978262,0.278176157462676,0.388020794688742,"[0.8,1.2)",0,0.8
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,2,"21","Cruce",-1.01145401662763,0.20930590494488,2.59895803529048,1.35480618266739,1.33354772842329,-1.57110975678939,-6.44250126312989,-2.73754953828599,-5.47635290915372,4.35999527687859,-0.622292596274468,-0.0139685864756056,NA,NA,0.831875383853912,0.603933572769165,-0.168538123369217,-0.375224232673645,0,10.0740655811471,0,0.0677703369943415,0.448662578794316,0.443514702162216,1724,"021",0.448662578794316,0.579998934129611,1.02575956485521,-0.145403715152695,-0.619184373694825,"[0.4,0.8)",0,0.4
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,3,"25","Cruce",1.88123857815758,-0.343283073791339,1.7783808488906,1.52056741014527,-1.33241411605396,1.79472346655294,-4.76639862369598,-5.12654310037759,5.85038672762719,-3.84356281816802,0.757009715241458,0.422022460064357,NA,NA,0.489182710647583,0.133958786725998,0.249975502490997,0.755133032798767,0,10.3976460486249,0,0.0223415958125401,1.35999378541368,1.35981026230146,1437,"025",1.35999378541368,0.606668234348005,1.96660549303864,0.842139683179517,-1.30174884141485,"[1.2,1.6)",0,1.2
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,4,"31","Cruce",0.214151501891843,-0.172243627992033,0.735114477147858,-1.42492884026327,-2.13347895026534,-1.97510961431222,-4.68372567748066,5.20218355867114,5.22182619026855,4.66181630253976,-0.268541025169426,-0.310175220548021,NA,NA,-0.549564838409424,0.00195510685443878,-0.701205015182495,-0.696438312530518,0,8.5336521972608,0,0.218567356366259,0.5020131471444,0.451935294745708,1344,"031",0.5020131471444,0.579997676272852,1.05482587219354,-0.0949189148092819,0.353816645671407,"[0.4,0.8)",0,0.4
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,5,"27","Cruce",1.38045352757973,-1.12611746033432,2.71481184576972,1.98063157795182,-1.61890227341444,-0.905832190909487,-3.67093730644859,-5.96021973522151,6.99508730468761,-0.262209076498465,0.879343192545425,-0.999478289658939,NA,NA,1.72191405296326,0.36853551864624,0.2731012403965,-0.976755082607269,0,0,0,0.107798794502234,0.516864631627604,0.505498236724327,1204,"027",0.516864631627604,0.606667659171026,1.11738006417253,-0.0795019959738688,-0.277756073509855,"[0.4,0.8)",0,0.4
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,6,"26","Cruce",0.392061980386606,0.0777371004838757,0.324465218461921,1.63875317597683,-3.03449501809839,0.925327400021751,-4.22749232276027,-5.57927492251484,6.8685932687127,-1.34997278083469,-0.581425993558137,0.443194264009363,NA,NA,-0.835075914859772,0.108436949551105,-1.15054190158844,0.555049538612366,0,9.04176350057308,0,0.170859437058213,1.03982583819942,1.02569236448132,1489,"026",1.03982583819942,0.580003895874562,1.61476125178822,0.475893470638182,0.128676447013198,"[0.8,1.2)",0,0.8
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,7,"19","Cruce",-0.971918354739904,-1.22479406368007,-2.30217935307196,1.52210420590521,2.5802361902894,0.952518200736277,5.70447545663123,-4.05696435339183,-5.6844978821281,-4.08490928027553,0.550058375243652,-0.506377970790699,NA,NA,-0.73752099275589,0.409335315227509,1.02105855941772,-0.16791458427906,0,7.6028544884913,0,0.304765907318085,1.68301362119677,1.65518959363284,1451,"019",1.68301362119677,0.57999882543065,2.25587038952689,1.18287402425369,0.640375648887572,"[1.6,2)",0,1.6
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,8,"23","Cruce",-2.4479163985483,0.400080671413337,-1.97848802692823,-1.16304064917862,1.37176923339284,-1.7545235510787,5.93136757317999,3.71737524495831,-5.82189978499102,3.8865772722952,-0.707480689818232,-0.3664602395447,NA,NA,-0.374195754528046,-0.157579272985458,-0.202915608882904,-0.703295230865479,0,7.34155761841319,0,0.328800111355308,1.90176271506072,1.87312357071493,1258,"023",1.90176271506072,0.606666079715475,2.50149293969178,1.38229333679273,0.703701264616376,"[1.6,2)",0,1.6
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,9,"18","Cruce",0.372294149442743,-0.198557388884234,2.40648528644422,-0.226634403650628,2.66851288979541,1.78487097545539,-6.92305960328117,1.03501001416237,-4.88751305135205,-5.01120905299943,0.92297251431254,-0.00484654347297697,NA,NA,0.533963561058044,0.053311038762331,1.34655952453613,0.429459929466248,0,8.09869411854741,0,0.258974849994861,0.583755559430159,0.523165920369204,1264,"018",0.583755559430159,0.606669652831811,1.15913708130401,-0.00545624792187163,0.504607918570535,"[0.4,0.8)",0,0.4
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,10,"24","Cruce",-0.174615840004118,1.38026826464782,-2.34303784200961,-1.03443097286775,2.66237602230832,-1.49890190575952,6.4904958923438,2.62172902327228,-4.9284645708089,4.97093924467816,0.902210104162288,0.276433538768396,NA,NA,-0.56278920173645,-0.315328419208527,1.31057250499725,-0.135444894433022,0,10.4331341054281,0,0.0125126216959435,1.5420782133495,1.54202744800003,1093,"024",1.5420782133495,0.580003184605179,2.12206757685488,1.03629509167062,-1.59042895037198,"[1.2,1.6)",0,1.2
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,11,"20","Cruce",-2.75102313968752,1.16975817751022,-1.50135963915653,-1.621974502365,3.34824734061273,0.979930258786296,4.69923840385097,5.18817486441737,-6.99996577796254,-0.0218885210393226,0.848259562768961,0.972112929843681,NA,NA,-0.230326950550079,-0.218698024749756,1.45491826534271,0.974009811878204,0,8.63720271878496,0,0.208901483824517,3.60470520516278,3.59864693825103,1090,"020",3.60470520516278,0.606661668123112,4.21049409513839,2.70003360054982,0.306861589945593,"[3.6,4)",0,3.6
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,12,"22","Cruce",-3.21886180535894,0.873728367472954,0.426116378568393,1.32236524925395,1.60593093949388,-0.152556643739023,-5.78421343791698,-3.94244529507013,-6.77400883334154,1.76431412333825,-0.813357929556674,0.477555543167496,NA,NA,-1.13837611675262,0.25602850317955,-0.226276695728302,0.324648410081863,0,8.48703218853373,0,0.222913869826834,2.43790930988375,2.42769668819165,1186,"022",2.43790930988375,0.60666709690069,3.04254078657816,1.84318834735767,0.369782355635203,"[2.4,2.8)",0,2.4
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,13,"30","Cruce",2.21070242722195,0.75531644345805,-3.04790195478492,1.56787227336325,-2.49277892978582,-1.55102607475632,5.64718912850996,-4.13633351494278,6.35172030991646,2.94204845381491,-0.22430739052994,-0.500294484108138,NA,NA,-1.4989640712738,0.433336347341537,-0.750593245029449,-0.744063138961792,0,9.61144985660741,0,0.115916482301297,2.73967728281484,2.73722395559856,1278,"030",2.73967728281484,0.579999963565032,3.31924858826096,2.08305676508062,-0.217734159930997,"[2.4,2.8)",0,2.4
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,14,"32","Cruce",0.0691874083035184,1.55788615067018,-1.95368652368112,1.7985728964414,-2.98627124170345,-0.836170410472869,4.53937083195156,-5.32861261962506,5.61485970963347,4.18011368758491,-0.980964202548642,0.65672733509317,NA,NA,-0.708600759506226,0.337011903524399,-1.44619393348694,0.310374557971954,0,9.81193858740244,0,0.0957294082161567,1.3838011478054,1.38048596409747,922,"032",1.3838011478054,0.57999909376524,1.9628208743956,0.864828032139945,-0.370215153821759,"[1.2,1.6)",0,1.2
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,15,"28","Cruce",0.85331136907673,-1.71817708040884,2.61006625226579,1.01991031480309,-2.44496858922595,0.797428997975134,-6.10069492380696,-3.43242209622243,5.61312466284713,-4.18244324759312,-0.440281209637689,-0.696300733308124,NA,NA,0.959969162940979,0.0915221944451332,-0.92675518989563,-0.333822280168533,0,10.2488985361627,0,0.0465667990483176,1.6485184343734,1.64786060141485,1040,"028",1.6485184343734,0.606669236453007,2.25501112354686,1.14780747933712,-0.881991579546005,"[1.6,2)",0,1.6
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,0,"3","Colision",2.43473784458573,-0.323547753122189,-1.83301137036305,0.731053427803153,2.67107111340137,1.74852986840069,6.89733580974369,-1.19447006141942,-5.71409514479669,-4.04340409509252,0.630322847402556,0.304456977296218,NA,NA,0.0588280409574509,0.403428435325623,1.10377335548401,0.639484405517578,0,6.35180552794494,0,0.310888661903221,1.91057672536002,1.88511316991513,1493,"13",1.91057672536002,0.57999893212247,1.64283213074987,1.38650830991611,0.657337070788237,"[1.6,2)",0,1.6
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,1,"1","Colision",-1.85488147023243,1.53157238977798,1.26196936485647,-1.21637629595538,1.70979985621981,1.597225046652,-5.05399313582647,4.8432585500899,-6.30791851164382,-3.03482520921077,-0.543028183652989,0.513358900505294,NA,NA,-0.105015076696873,0.0936093479394913,0.00365711376070976,0.776375770568848,0,6.11945024354254,0,0.172521301762964,1.66063775557649,1.65165194750109,1344,"11",1.66063775557649,0.606665219331332,2.00611255961776,1.15881064781658,0.138055302663452,"[1.6,2)",0,1.6
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,2,"16","Colision",-0.820364984170292,1.59077835178543,1.42788127372771,-0.692906521721185,-3.05121188476282,0.395282466676105,-5.63038901681486,4.15917293693477,6.91107182695862,1.11224376942236,-0.582971946563311,0.792512384326946,NA,NA,-0.0950043275952339,0.432050585746765,-1.18193459510803,0.696117699146271,0,0,0,0.501031618668588,0.832816912116162,0.665245312798996,1365,"116",0.832816912116162,0.606669753393711,0.964961277427438,0.24471738492189,1.08524398341839,"[0.8,1.2)",0,0.8
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,3,"8","Colision",-2.00643484080204,-1.73791240107799,1.39327164602178,1.08023963924011,1.81214240309901,-1.56924098292494,-5.24851410808677,-4.6317490926446,-6.42135222790303,2.78679664941753,-0.481197678294929,-0.57395646527582,NA,NA,-0.0263268053531647,-0.172538489103317,0.0753182172775269,-0.815476059913635,0,7.19707600289084,0,0.136524846614638,1.91863019427451,1.91376664947394,1019,"18",1.91863019427451,0.60666436900384,2.27696829102302,1.39501295938438,-0.0807183864944981,"[1.6,2)",0,1.6
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,4,"5","Colision",2.08550616457749,1.76839623780779,-1.31570317657369,-0.161051250720796,3.05962270738888,-0.413153981983011,6.31928847226579,3.01107841217873,-5.93162400282943,3.71696605971293,0.941185563521231,0.914333896485891,NA,NA,0.417587518692017,0.664844691753387,1.43266463279724,0.60635632276535,0,0,0,0.27878781504346,1.42789779776635,1.4004176073762,886,"15",1.42789779776635,0.580001604697093,1.33286864685498,0.91343733628827,0.574746500150187,"[1.2,1.6)",0,1.2
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,5,"12","Colision",-1.340917865692,-1.40899038992548,1.80328261261498,1.98935113941537,-2.80287481377563,1.82552069769187,-6.35217100678571,-2.9410752286453,6.54506978710798,-2.48234999181951,-0.465349889808491,0.938967129184905,NA,NA,0.0851704329252243,1.19385838508606,-1.03259086608887,1.15410816669464,0,0,0,1.76279361979479,2.50589780157526,1.78103409455027,1119,"112",2.50589780157526,0.606669589803447,2.58157698890279,1.91142728069824,2.41720709000481,"[2.4,2.8)",0,2.4
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,6,"13","Colision",2.10527399552135,-1.25110782457227,-2.01139961963623,1.0887337130447,-1.70142395192792,-1.685683920036,6.20536037958953,-3.23936761720872,5.33742851000624,4.52900175541725,0.204800515931455,-0.0681832931012687,NA,NA,-0.309359520673752,0.200222223997116,-0.237444266676903,-0.443441212177277,0,9.09666419250078,0,0.169165363533626,2.23855084681595,2.23214985463811,1205,"113",2.23855084681595,0.579999097907548,2.47803434455917,1.66974733217367,0.114832512699329,"[2,2.4)",0,2
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,7,"4","Colision",-1.66379243777509,1.61709211267763,1.83427772420472,-1.2621635524821,2.17355081910314,0.94184545313455,-5.71733346653721,4.03882384270639,-6.66729813225278,-2.13240137302022,-0.207627085272855,0.180273534198757,NA,NA,0.266093015670776,-0.154372468590736,0.344807654619217,0.356957077980042,0,10.153031464402,0,0.333362600517596,2.04569429810273,2.01834945880691,987,"14",2.04569429810273,0.580001048691064,2.37116314007255,1.51109491696222,0.720366158153117,"[2,2.4)",0,2
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,8,"14","Colision",-0.497490412087205,0.689532041227548,2.79984497672555,-1.96978577479369,-1.74018015575833,-1.70789049972175,-6.18846492520911,3.27152898037854,6.52360544574576,2.53822221017708,0.589678932008014,-0.801382567515645,NA,NA,1.10244011878967,-1.07245171070099,0.0491512902081013,-1.01169204711914,0,0,0,0.80997173178947,1.84520013909177,1.65792320298808,1691,"114",1.84520013909177,0.580000179966237,1.78689130879842,1.33253939379395,1.52001608423837,"[1.6,2)",0,1.6
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,9,"2","Colision",-0.53702607397493,-1.86948120553899,-2.45613193592083,0.197689758132936,1.98231487106902,0.381147231979663,6.34651124456229,-2.95326853209194,-6.08113981500928,-3.46694945886277,-0.189520777148583,-0.857049003328471,NA,NA,-0.739553332328796,-0.601099252700806,0.337509334087372,-0.556580245494843,0,0,0,1.06453101082213,1.07041061999366,0.112038486214467,1318,"12",1.07041061999366,0.606664827218017,1.57750471024322,0.511044960905285,1.79865339974568,"[0.8,1.2)",0,0.8
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,10,"10","Colision",0.925793415870892,0.853993046803804,-3.26041055728071,-1.29588716235114,-2.75044797421212,1.42857652383281,6.44045192820437,2.74236740071213,5.01255669561232,-4.88613092060294,-0.960249154350581,-0.31647023352538,NA,NA,-1.49389231204987,-0.543692708015442,-1.37557768821716,0.088381215929985,0,9.06261881407979,0,0.338032223677423,2.21971639343556,2.19382658454178,1035,"110",2.21971639343556,0.580002144107996,2.42538047207143,1.6616561011248,0.730356132830012,"[2,2.4)",0,2
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,11,"6","Colision",-0.938971969833466,-1.8957949664312,2.38782951803986,0.780310230344131,2.73082166729146,-1.35135008128721,-5.75336633545711,-3.98732690032167,-6.71374435336161,1.98132197224607,0.333055826805174,-0.643735091199325,NA,NA,0.831681251525879,-0.298167079687119,0.914917230606079,-0.815450847148895,0,10.4375644152917,0,0.304511796405976,1.78485535732927,1.75868735494306,1176,"16",1.78485535732927,0.606670416350173,2.14570468228371,1.28219495264318,0.639879585517546,"[1.6,2)",0,1.6
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,12,"9","Colision",0.780829322282567,1.14344441661801,-2.93046434565751,-1.42620149118333,-3.10209653097117,0.705054001811557,6.06696954070165,3.49168735602122,6.54753965957989,-2.47582802436447,-0.763689509692636,-0.179170292604326,NA,NA,-1.28949117660522,-0.481784760951996,-1.33113873004913,0.0354018062353134,0,8.81401834787405,0,0.375897739078837,2.03343258835333,1.99838659451387,1118,"19",2.03343258835333,0.606662841522077,2.38498794137275,1.49979868078108,0.806376490686994,"[2,2.4)",0,2
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,13,"11","Colision",0.108723070191243,-1.79053992286239,2.30965627900306,1.76703003868511,-1.82878286070156,0.684227992163053,-4.87648164210375,-5.02194452321261,6.71114794906919,-1.99009879295085,0.568055692537432,-0.026521576747965,NA,NA,0.972105264663696,0.389583051204681,0.011991024017334,0.138372004032135,0,0,0,0.899349284541517,1.82284041632275,1.58553399451868,1503,"111",1.82284041632275,0.579998110823518,1.93133588753302,1.31028343918067,1.66326565107265,"[1.6,2)",0,1.6
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,14,"15","Colision",1.73627448456925,-1.06033305810382,-3.01950626814252,1.59358938042467,-2.90191609692577,-0.882599781201312,6.23685659852645,-3.17830454321436,5.90760411911955,3.75502510933839,-0.7920574829545,0.45848061499097,NA,NA,-1.33258783817291,0.733932137489319,-1.30405414104462,0.133045479655266,0,9.22086924647819,0,0.205271936466749,2.94945037449051,2.9422985816673,1014,"115",2.94945037449051,0.606670095856405,3.26615224478455,2.20332640697038,0.288273098849157,"[2.8,3.2)",0,2.8
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",1,15,"7","Colision",0.477722581143342,0.926355889257357,-3.27847121383659,-1.72713664617892,1.31851343747853,-1.94941234192908,6.56790088071447,2.42129676436205,-6.30365614296789,3.04366871246252,-0.932792327867141,-0.862387801763898,NA,NA,-1.50200867652893,-1.07223701477051,-0.38647523522377,-1.1261750459671,0,0,0,1.1904187632066,2.27797197101044,1.94217905171353,1417,"17",2.27797197101044,0.606668011286754,2.22704313067059,1.70498428326321,1.90394672041391,"[2,2.4)",0,2
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",2,0,"17","Cruce",-1.63084605286865,-1.17874498211872,0.606062394834691,-1.31256190969276,1.12619216438797,1.32419198830523,-5.75354092479734,3.98707497128938,-4.90848790962757,-4.99066593162075,-0.626839231907595,-0.458188701559318,NA,NA,-0.950132787227631,-0.234153121709824,-0.201436817646027,-0.0256641916930676,0,8.61958500900282,0,0.210552344327983,1.23581189911326,1.21774330640243,834,"017",1.23581189911326,0.606666849015678,1.83652009817164,0.690816686117622,0.317470248902398,"[1.2,1.6)",0,1.2
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",2,1,"29","Cruce",1.25525726493527,1.68287651490813,2.21548214412264,-1.91465941613975,-2.06862152415598,-0.252939467260889,-4.13970218407654,5.64472017261724,6.19990721347299,3.24979238480331,0.14563105208437,0.907700670168864,NA,NA,1.08002102375031,-0.36639392375946,-0.368075370788574,0.638432383537292,0,9.03577185267278,0,0.171447783172475,1.3535759758924,1.3426740409192,854,"029",1.3535759758924,0.579999740591682,1.93030370402201,0.8341003397228,0.132345040594294,"[1.2,1.6)",0,1.2
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",2,2,"21","Cruce",-2.46109495251087,1.45920954732443,2.59895803529048,1.35480618266739,1.33354772842329,-1.57110975678939,-6.44250126312989,-2.73754953828599,-5.47635290915372,4.35999527687859,-0.622292596274468,-0.0139685864756056,NA,NA,0.856418251991272,0.614362359046936,-0.147675827145576,-0.391833752393723,0,10.4443125300293,0,0.00756371302799784,2.35615108157501,2.35613894103305,931,"021",2.35615108157501,0.606665609007692,2.96281443007108,1.76313274379226,-1.81101412672358,"[2,2.4)",0,2
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",2,3,"25","Cruce",1.6572031607938,-0.718254166505203,1.7783808488906,1.52056741014527,-1.33241411605396,1.79472346655294,-4.76639862369598,-5.12654310037759,5.85038672762719,-3.84356281816802,0.757009715241458,0.422022460064357,NA,NA,0.471024990081787,0.114429101347923,0.272262692451477,0.740490913391113,0,5.92406053136823,0,0.458731298023733,1.45278319941974,1.37845733366315,727,"025",1.45278319941974,0.580001579194476,2.01146645733255,0.944549839984409,1.00232153212256,"[1.2,1.6)",0,1.2
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",2,4,"31","Cruce",0.662222336619392,0.229041225614031,0.735114477147858,-1.42492884026327,-2.13347895026534,-1.97510961431222,-4.68372567748066,5.20218355867114,5.22182619026855,4.66181630253976,-0.268541025169426,-0.310175220548021,NA,NA,-0.531722068786621,-0.0178627371788025,-0.721097707748413,-0.714197635650635,0,8.54378499280568,0,0.217632347546504,1.07567411954553,1.05342820009788,620,"031",1.07567411954553,0.606664374141293,1.67429803038456,0.519815007148436,0.348658082027338,"[0.8,1.2)",0,0.8
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",2,5,"27","Cruce",2.69830892383722,-1.11953902011127,2.71481184576972,1.98063157795182,-1.61890227341444,-0.905832190909487,-3.67093730644859,-5.96021973522151,6.99508730468761,-0.262209076498465,0.879343192545425,-0.999478289658939,NA,NA,1.70792949199677,0.345829904079437,0.299749195575714,-0.97775399684906,0,0,0,0.0518553273012771,1.8229237259443,1.82218603211668,682,"027",1.8229237259443,0.580000988121068,2.40274671217325,1.31123763466136,-0.80973771230526,"[1.6,2)",0,1.6
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",2,6,"26","Cruce",0.767650768319992,0.0711586602608252,0.324465218461921,1.63875317597683,-3.03449501809839,0.925327400021751,-4.22749232276027,-5.57927492251484,6.8685932687127,-1.34997278083469,-0.581425993558137,0.443194264009363,NA,NA,-0.818971157073975,0.129691332578659,-1.17670798301697,0.560192286968231,0,9.72195422669239,0,0.104878750891288,1.39943510028015,1.3954995691535,709,"026",1.39943510028015,0.606670573169945,2.0049151707619,0.880204030020515,-0.303050973375407,"[1.2,1.6)",0,1.2
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",2,7,"19","Cruce",-1.38704280456102,-1.18532342234177,-2.30217935307196,1.52210420590521,2.5802361902894,0.952518200736277,5.70447545663123,-4.05696435339183,-5.6844978821281,-4.08490928027553,0.550058375243652,-0.506377970790699,NA,NA,-0.759252309799194,0.424790412187576,1.04271376132965,-0.152353018522263,0,0,0,0.579065463051402,2.05263925398072,1.96926663925523,839,"019",2.05263925398072,0.606665473113653,2.6402168139484,1.51873421795768,1.222866297189,"[2,2.4)",0,2
"_04-28-2021_142555000","ExpWeb","Male",18,"NO",2,8,"23","Cruce",-2.51380916836117,0.327717828959784,-1.97848802692823,-1.16304064917862,1.37176923339284,-1.7545235510787,5.93136757317999,3.71737524495831,-5.82189978499102,3.8865772722952,-0.707480689818232,-0.3664602395447,NA,NA,-0.351600080728531,-0.143417835235596,-0.225094273686409,-0.688489198684692,0,6.28647349947951,0,0.425574869221439,1.93512422422641,1.88774780992458,570,"023",1.93512422422641,0.579999400855976,2.50417503224917,1.41014368967031,0.928881192030823,"[1.6,2)",0,1.6
